# Final state angular momentum:   1
# Broadening parameter (in eV):    0.800
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
   33.60360360    0.00143262
   33.71371371    0.00141001
   33.82382382    0.00138667
   33.93393393    0.00136106
   34.04404404    0.00133215
   34.15415415    0.00129959
   34.26426426    0.00126370
   34.37437437    0.00122546
   34.48448448    0.00118640
   34.59459459    0.00114842
   34.70470470    0.00111329
   34.81481481    0.00108200
   34.92492492    0.00105437
   35.03503504    0.00102906
   35.14514515    0.00100420
   35.25525526    0.00097825
   35.36536537    0.00095088
   35.47547548    0.00092306
   35.58558559    0.00089669
   35.69569570    0.00087374
   35.80580581    0.00085566
   35.91591592    0.00084306
   36.02602603    0.00083570
   36.13613614    0.00083264
   36.24624625    0.00083247
   36.35635636    0.00083370
   36.46646647    0.00083499
   36.57657658    0.00083536
   36.68668669    0.00083422
   36.79679680    0.00083130
   36.90690691    0.00082667
   37.01701702    0.00082072
   37.12712713    0.00081415
   37.23723724    0.00080779
   37.34734735    0.00080234
   37.45745746    0.00079821
   37.56756757    0.00079531
   37.67767768    0.00079312
   37.78778779    0.00079079
   37.89789790    0.00078737
   38.00800801    0.00078200
   38.11811812    0.00077419
   38.22822823    0.00076387
   38.33833834    0.00075144
   38.44844845    0.00073751
   38.55855856    0.00072274
   38.66866867    0.00070763
   38.77877878    0.00069243
   38.88888889    0.00067726
   38.99899900    0.00066224
   39.10910911    0.00064768
   39.21921922    0.00063416
   39.32932933    0.00062246
   39.43943944    0.00061337
   39.54954955    0.00060753
   39.65965966    0.00060527
   39.76976977    0.00060655
   39.87987988    0.00061098
   39.98998999    0.00061784
   40.10010010    0.00062620
   40.21021021    0.00063508
   40.32032032    0.00064362
   40.43043043    0.00065115
   40.54054054    0.00065717
   40.65065065    0.00066124
   40.76076076    0.00066297
   40.87087087    0.00066212
   40.98098098    0.00065879
   41.09109109    0.00065348
   41.20120120    0.00064689
   41.31131131    0.00063965
   41.42142142    0.00063198
   41.53153153    0.00062365
   41.64164164    0.00061408
   41.75175175    0.00060252
   41.86186186    0.00058843
   41.97197197    0.00057169
   42.08208208    0.00055278
   42.19219219    0.00053262
   42.30230230    0.00051231
   42.41241241    0.00049276
   42.52252252    0.00047459
   42.63263263    0.00045801
   42.74274274    0.00044299
   42.85285285    0.00042942
   42.96296296    0.00041721
   43.07307307    0.00040640
   43.18318318    0.00039717
   43.29329329    0.00038977
   43.40340340    0.00038443
   43.51351351    0.00038127
   43.62362362    0.00038021
   43.73373373    0.00038083
   43.84384384    0.00038241
   43.95395395    0.00038389
   44.06406406    0.00038404
   44.17417417    0.00038180
   44.28428428    0.00037657
   44.39439439    0.00036848
   44.50450450    0.00035831
   44.61461461    0.00034725
   44.72472472    0.00033650
   44.83483483    0.00032703
   44.94494494    0.00031948
   45.05505506    0.00031412
   45.16516517    0.00031097
   45.27527528    0.00030982
   45.38538539    0.00031036
   45.49549550    0.00031223
   45.60560561    0.00031511
   45.71571572    0.00031875
   45.82582583    0.00032297
   45.93593594    0.00032764
   46.04604605    0.00033257
   46.15615616    0.00033756
   46.26626627    0.00034239
   46.37637638    0.00034688
   46.48648649    0.00035085
   46.59659660    0.00035405
   46.70670671    0.00035613
   46.81681682    0.00035667
   46.92692693    0.00035536
   47.03703704    0.00035215
   47.14714715    0.00034727
   47.25725726    0.00034112
   47.36736737    0.00033404
   47.47747748    0.00032619
   47.58758759    0.00031759
   47.69769770    0.00030818
   47.80780781    0.00029804
   47.91791792    0.00028743
   48.02802803    0.00027678
   48.13813814    0.00026657
   48.24824825    0.00025725
   48.35835836    0.00024913
   48.46846847    0.00024237
   48.57857858    0.00023703
   48.68868869    0.00023304
   48.79879880    0.00023027
   48.90890891    0.00022856
   49.01901902    0.00022778
   49.12912913    0.00022785
   49.23923924    0.00022876
   49.34934935    0.00023056
   49.45945946    0.00023328
   49.56956957    0.00023687
   49.67967968    0.00024109
   49.78978979    0.00024549
   49.89989990    0.00024940
   50.01001001    0.00025208
   50.12012012    0.00025289
   50.23023023    0.00025160
   50.34034034    0.00024845
   50.45045045    0.00024412
   50.56056056    0.00023951
   50.67067067    0.00023545
   50.78078078    0.00023262
   50.89089089    0.00023147
   51.00100100    0.00023219
   51.11111111    0.00023479
   51.22122122    0.00023903
   51.33133133    0.00024442
   51.44144144    0.00025024
   51.55155155    0.00025556
   51.66166166    0.00025943
   51.77177177    0.00026104
   51.88188188    0.00025997
   51.99199199    0.00025629
   52.10210210    0.00025049
   52.21221221    0.00024332
   52.32232232    0.00023556
   52.43243243    0.00022782
   52.54254254    0.00022046
   52.65265265    0.00021362
   52.76276276    0.00020728
