# Final state angular momentum:   1
# Broadening parameter (in eV):    0.800
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
   23.69369369    0.00283190
   23.80380380    0.00289075
   23.91391391    0.00292845
   24.02402402    0.00294250
   24.13413413    0.00293298
   24.24424424    0.00290330
   24.35435435    0.00285989
   24.46446446    0.00281041
   24.57457457    0.00276147
   24.68468468    0.00271726
   24.79479479    0.00267957
   24.90490490    0.00264846
   25.01501502    0.00262304
   25.12512513    0.00260188
   25.23523524    0.00258292
   25.34534535    0.00256304
   25.45545546    0.00253793
   25.56556557    0.00250302
   25.67567568    0.00245535
   25.78578579    0.00239516
   25.89589590    0.00232619
   26.00600601    0.00225420
   26.11611612    0.00218495
   26.22622623    0.00212266
   26.33633634    0.00206945
   26.44644645    0.00202564
   26.55655656    0.00199049
   26.66666667    0.00196295
   26.77677678    0.00194194
   26.88688689    0.00192619
   26.99699700    0.00191377
   27.10710711    0.00190204
   27.21721722    0.00188852
   27.32732733    0.00187200
   27.43743744    0.00185314
   27.54754755    0.00183411
   27.65765766    0.00181746
   27.76776777    0.00180510
   27.87787788    0.00179779
   27.98798799    0.00179513
   28.09809810    0.00179578
   28.20820821    0.00179779
   28.31831832    0.00179904
   28.42842843    0.00179792
   28.53853854    0.00179402
   28.64864865    0.00178835
   28.75875876    0.00178278
   28.86886887    0.00177928
   28.97897898    0.00177923
   29.08908909    0.00178307
   29.19919920    0.00179036
   29.30930931    0.00179988
   29.41941942    0.00180997
   29.52952953    0.00181883
   29.63963964    0.00182474
   29.74974975    0.00182627
   29.85985986    0.00182254
   29.96996997    0.00181361
   30.08008008    0.00180064
   30.19019019    0.00178556
   30.30030030    0.00177042
   30.41041041    0.00175653
   30.52052052    0.00174406
   30.63063063    0.00173210
   30.74074074    0.00171945
   30.85085085    0.00170557
   30.96096096    0.00169118
   31.07107107    0.00167825
   31.18118118    0.00166940
   31.29129129    0.00166713
   31.40140140    0.00167309
   31.51151151    0.00168758
   31.62162162    0.00170923
   31.73173173    0.00173497
   31.84184184    0.00176042
   31.95195195    0.00178068
   32.06206206    0.00179156
   32.17217217    0.00179063
   32.28228228    0.00177785
   32.39239239    0.00175537
   32.50250250    0.00172674
   32.61261261    0.00169584
   32.72272272    0.00166583
   32.83283283    0.00163831
   32.94294294    0.00161301
   33.05305305    0.00158810
   33.16316316    0.00156117
   33.27327327    0.00153045
   33.38338338    0.00149562
   33.49349349    0.00145786
   33.60360360    0.00141923
   33.71371371    0.00138181
   33.82382382    0.00134697
   33.93393393    0.00131492
   34.04404404    0.00128462
   34.15415415    0.00125428
   34.26426426    0.00122215
   34.37437437    0.00118749
   34.48448448    0.00115099
   34.59459459    0.00111453
   34.70470470    0.00108046
   34.81481481    0.00105074
   34.92492492    0.00102634
   35.03503504    0.00100706
   35.14514515    0.00099176
   35.25525526    0.00097889
   35.36536537    0.00096702
   35.47547548    0.00095527
   35.58558559    0.00094322
   35.69569570    0.00093057
   35.80580581    0.00091671
   35.91591592    0.00090065
   36.02602603    0.00088137
   36.13613614    0.00085836
   36.24624625    0.00083199
   36.35635636    0.00080344
   36.46646647    0.00077434
   36.57657658    0.00074629
   36.68668669    0.00072060
   36.79679680    0.00069807
   36.90690691    0.00067899
   37.01701702    0.00066324
   37.12712713    0.00065034
   37.23723724    0.00063959
   37.34734735    0.00063016
   37.45745746    0.00062122
   37.56756757    0.00061208
   37.67767768    0.00060242
   37.78778779    0.00059234
   37.89789790    0.00058247
   38.00800801    0.00057373
   38.11811812    0.00056717
   38.22822823    0.00056363
   38.33833834    0.00056362
   38.44844845    0.00056721
   38.55855856    0.00057400
   38.66866867    0.00058319
   38.77877878    0.00059365
   38.88888889    0.00060407
   38.99899900    0.00061332
   39.10910911    0.00062065
   39.21921922    0.00062598
   39.32932933    0.00062971
   39.43943944    0.00063252
   39.54954955    0.00063499
   39.65965966    0.00063732
   39.76976977    0.00063939
   39.87987988    0.00064078
   39.98998999    0.00064105
   40.10010010    0.00063996
   40.21021021    0.00063768
   40.32032032    0.00063487
   40.43043043    0.00063247
   40.54054054    0.00063142
   40.65065065    0.00063230
   40.76076076    0.00063523
   40.87087087    0.00063981
   40.98098098    0.00064537
   41.09109109    0.00065118
   41.20120120    0.00065669
   41.31131131    0.00066157
   41.42142142    0.00066564
   41.53153153    0.00066868
   41.64164164    0.00067037
   41.75175175    0.00067033
   41.86186186    0.00066831
   41.97197197    0.00066438
   42.08208208    0.00065898
   42.19219219    0.00065273
   42.30230230    0.00064615
   42.41241241    0.00063941
   42.52252252    0.00063224
   42.63263263    0.00062407
   42.74274274    0.00061436
   42.85285285    0.00060279
   42.96296296    0.00058944
   43.07307307    0.00057480
   43.18318318    0.00055966
   43.29329329    0.00054495
   43.40340340    0.00053153
   43.51351351    0.00052008
   43.62362362    0.00051101
   43.73373373    0.00050449
   43.84384384    0.00050041
   43.95395395    0.00049840
   44.06406406    0.00049786
   44.17417417    0.00049793
   44.28428428    0.00049762
   44.39439439    0.00049601
   44.50450450    0.00049245
   44.61461461    0.00048672
   44.72472472    0.00047912
   44.83483483    0.00047027
   44.94494494    0.00046091
   45.05505506    0.00045165
   45.16516517    0.00044287
   45.27527528    0.00043465
   45.38538539    0.00042692
   45.49549550    0.00041953
   45.60560561    0.00041234
   45.71571572    0.00040519
   45.82582583    0.00039795
   45.93593594    0.00039046
   46.04604605    0.00038265
   46.15615616    0.00037457
   46.26626627    0.00036637
   46.37637638    0.00035829
   46.48648649    0.00035051
   46.59659660    0.00034316
   46.70670671    0.00033627
   46.81681682    0.00032988
   46.92692693    0.00032403
   47.03703704    0.00031875
   47.14714715    0.00031404
   47.25725726    0.00030978
   47.36736737    0.00030567
   47.47747748    0.00030124
   47.58758759    0.00029596
   47.69769770    0.00028946
   47.80780781    0.00028169
   47.91791792    0.00027301
   48.02802803    0.00026408
   48.13813814    0.00025561
   48.24824825    0.00024821
   48.35835836    0.00024226
   48.46846847    0.00023793
   48.57857858    0.00023519
   48.68868869    0.00023386
   48.79879880    0.00023362
   48.90890891    0.00023406
   49.01901902    0.00023474
   49.12912913    0.00023524
   49.23923924    0.00023528
   49.34934935    0.00023480
   49.45945946    0.00023393
   49.56956957    0.00023291
   49.67967968    0.00023199
   49.78978979    0.00023128
   49.89989990    0.00023078
   50.01001001    0.00023033
   50.12012012    0.00022970
   50.23023023    0.00022869
   50.34034034    0.00022721
   50.45045045    0.00022536
   50.56056056    0.00022328
   50.67067067    0.00022112
   50.78078078    0.00021891
   50.89089089    0.00021660
   51.00100100    0.00021408
   51.11111111    0.00021131
   51.22122122    0.00020830
   51.33133133    0.00020511
   51.44144144    0.00020181
   51.55155155    0.00019836
   51.66166166    0.00019466
   51.77177177    0.00019055
   51.88188188    0.00018595
   51.99199199    0.00018089
   52.10210210    0.00017557
   52.21221221    0.00017029
   52.32232232    0.00016539
   52.43243243    0.00016114
   52.54254254    0.00015775
   52.65265265    0.00015529
   52.76276276    0.00015376
   52.87287287    0.00015306
   52.98298298    0.00015299
   53.09309309    0.00015335
   53.20320320    0.00015391
   53.31331331    0.00015452
   53.42342342    0.00015511
   53.53353353    0.00015566
   53.64364364    0.00015618
   53.75375375    0.00015665
   53.86386386    0.00015701
   53.97397397    0.00015718
   54.08408408    0.00015705
   54.19419419    0.00015657
   54.30430430    0.00015574
   54.41441441    0.00015462
   54.52452452    0.00015335
   54.63463463    0.00015206
   54.74474474    0.00015081
   54.85485485    0.00014961
   54.96496496    0.00014835
   55.07507508    0.00014690
   55.18518519    0.00014510
   55.29529530    0.00014286
   55.40540541    0.00014017
   55.51551552    0.00013706
   55.62562563    0.00013363
   55.73573574    0.00013002
   55.84584585    0.00012637
   55.95595596    0.00012281
   56.06606607    0.00011942
   56.17617618    0.00011626
   56.28628629    0.00011329
   56.39639640    0.00011046
   56.50650651    0.00010768
   56.61661662    0.00010490
   56.72672673    0.00010207
   56.83683684    0.00009918
   56.94694695    0.00009628
   57.05705706    0.00009340
   57.16716717    0.00009059
   57.27727728    0.00008789
   57.38738739    0.00008532
   57.49749750    0.00008286
   57.60760761    0.00008050
   57.71771772    0.00007823
   57.82782783    0.00007604
   57.93793794    0.00007393
   58.04804805    0.00007191
   58.15815816    0.00006999
   58.26826827    0.00006819
   58.37837838    0.00006651
   58.48848849    0.00006498
   58.59859860    0.00006359
   58.70870871    0.00006234
   58.81881882    0.00006120
   58.92892893    0.00006015
   59.03903904    0.00005916
   59.14914915    0.00005820
   59.25925926    0.00005725
   59.36936937    0.00005631
   59.47947948    0.00005538
   59.58958959    0.00005446
   59.69969970    0.00005357
   59.80980981    0.00005270
   59.91991992    0.00005186
   60.03003003    0.00005103
   60.14014014    0.00005021
   60.25025025    0.00004941
   60.36036036    0.00004861
   60.47047047    0.00004783
   60.58058058    0.00004705
   60.69069069    0.00004629
   60.80080080    0.00004554
   60.91091091    0.00004480
   61.02102102    0.00004408
   61.13113113    0.00004337
   61.24124124    0.00004269
   61.35135135    0.00004202
   61.46146146    0.00004138
   61.57157157    0.00004076
   61.68168168    0.00004016
   61.79179179    0.00003960
   61.90190190    0.00003906
   62.01201201    0.00003856
   62.12212212    0.00003809
   62.23223223    0.00003765
   62.34234234    0.00003723
   62.45245245    0.00003685
   62.56256256    0.00003649
   62.67267267    0.00003616
   62.78278278    0.00003585
   62.89289289    0.00003557
   63.00300300    0.00003531
   63.11311311    0.00003506
   63.22322322    0.00003484
   63.33333333    0.00003463
   63.44344344    0.00003444
   63.55355355    0.00003427
   63.66366366    0.00003413
   63.77377377    0.00003401
   63.88388388    0.00003392
   63.99399399    0.00003387
   64.10410410    0.00003386
   64.21421421    0.00003388
   64.32432432    0.00003395
   64.43443443    0.00003406
   64.54454454    0.00003421
   64.65465465    0.00003440
   64.76476476    0.00003464
   64.87487487    0.00003491
   64.98498498    0.00003521
   65.09509510    0.00003552
   65.20520521    0.00003586
   65.31531532    0.00003620
   65.42542543    0.00003656
   65.53553554    0.00003693
   65.64564565    0.00003733
   65.75575576    0.00003776
   65.86586587    0.00003822
   65.97597598    0.00003873
   66.08608609    0.00003927
   66.19619620    0.00003983
   66.30630631    0.00004042
   66.41641642    0.00004102
   66.52652653    0.00004161
   66.63663664    0.00004220
   66.74674675    0.00004279
   66.85685686    0.00004340
   66.96696697    0.00004403
   67.07707708    0.00004471
   67.18718719    0.00004546
   67.29729730    0.00004629
   67.40740741    0.00004719
   67.51751752    0.00004814
   67.62762763    0.00004912
   67.73773774    0.00005009
   67.84784785    0.00005103
   67.95795796    0.00005191
   68.06806807    0.00005273
   68.17817818    0.00005351
   68.28828829    0.00005428
   68.39839840    0.00005505
   68.50850851    0.00005585
   68.61861862    0.00005669
   68.72872873    0.00005756
   68.83883884    0.00005843
   68.94894895    0.00005928
   69.05905906    0.00006008
   69.16916917    0.00006082
   69.27927928    0.00006152
   69.38938939    0.00006222
   69.49949950    0.00006296
   69.60960961    0.00006380
   69.71971972    0.00006476
   69.82982983    0.00006588
   69.93993994    0.00006716
   70.05005005    0.00006861
   70.16016016    0.00007020
   70.27027027    0.00007190
   70.38038038    0.00007366
   70.49049049    0.00007542
   70.60060060    0.00007715
   70.71071071    0.00007880
   70.82082082    0.00008036
   70.93093093    0.00008182
   71.04104104    0.00008320
   71.15115115    0.00008449
   71.26126126    0.00008568
   71.37137137    0.00008673
   71.48148148    0.00008760
   71.59159159    0.00008829
   71.70170170    0.00008882
   71.81181181    0.00008925
   71.92192192    0.00008968
   72.03203203    0.00009022
   72.14214214    0.00009096
   72.25225225    0.00009195
   72.36236236    0.00009323
   72.47247247    0.00009476
   72.58258258    0.00009651
   72.69269269    0.00009840
   72.80280280    0.00010032
   72.91291291    0.00010219
   73.02302302    0.00010389
   73.13313313    0.00010536
   73.24324324    0.00010659
   73.35335335    0.00010758
   73.46346346    0.00010842
   73.57357357    0.00010919
   73.68368368    0.00011002
