#       Energy(Ry)            Total                 X                  Y                   Z
      0.23600000E+00      0.20529729E-02      0.68426545E-03      0.68426009E-03      0.68444733E-03
      0.23700000E+00      0.20712317E-02      0.69035118E-03      0.69034584E-03      0.69053465E-03
      0.23800000E+00      0.20896387E-02      0.69648632E-03      0.69648101E-03      0.69667139E-03
      0.23900000E+00      0.21081955E-02      0.70267136E-03      0.70266608E-03      0.70285804E-03
      0.24000000E+00      0.21269035E-02      0.70890681E-03      0.70890155E-03      0.70909511E-03
      0.24100000E+00      0.21457642E-02      0.71519318E-03      0.71518794E-03      0.71538311E-03
      0.24200000E+00      0.21647793E-02      0.72153098E-03      0.72152578E-03      0.72172256E-03
      0.24300000E+00      0.21839503E-02      0.72792073E-03      0.72791557E-03      0.72811398E-03
      0.24400000E+00      0.22032787E-02      0.73436298E-03      0.73435784E-03      0.73455790E-03
      0.24500000E+00      0.22227663E-02      0.74085825E-03      0.74085315E-03      0.74105486E-03
      0.24600000E+00      0.22424145E-02      0.74740709E-03      0.74740203E-03      0.74760540E-03
      0.24700000E+00      0.22622251E-02      0.75401005E-03      0.75400502E-03      0.75421007E-03
      0.24800000E+00      0.22821998E-02      0.76066769E-03      0.76066269E-03      0.76086943E-03
      0.24900000E+00      0.23023402E-02      0.76738056E-03      0.76737561E-03      0.76758404E-03
      0.25000000E+00      0.23226481E-02      0.77414925E-03      0.77414433E-03      0.77435449E-03
      0.25100000E+00      0.23431251E-02      0.78097432E-03      0.78096945E-03      0.78118133E-03
      0.25200000E+00      0.23637731E-02      0.78785637E-03      0.78785155E-03      0.78806516E-03
      0.25300000E+00      0.23845938E-02      0.79479599E-03      0.79479121E-03      0.79500658E-03
      0.25400000E+00      0.24055890E-02      0.80179378E-03      0.80178905E-03      0.80200618E-03
      0.25500000E+00      0.24267606E-02      0.80885035E-03      0.80884567E-03      0.80906458E-03
      0.25600000E+00      0.24481104E-02      0.81596632E-03      0.81596168E-03      0.81618239E-03
      0.25700000E+00      0.24696403E-02      0.82314230E-03      0.82313772E-03      0.82336023E-03
      0.25800000E+00      0.24913521E-02      0.83037894E-03      0.83037442E-03      0.83059874E-03
      0.25900000E+00      0.25132478E-02      0.83767687E-03      0.83767241E-03      0.83789856E-03
      0.26000000E+00      0.25353294E-02      0.84503675E-03      0.84503234E-03      0.84526034E-03
      0.26100000E+00      0.25575988E-02      0.85245923E-03      0.85245488E-03      0.85268474E-03
      0.26200000E+00      0.25800581E-02      0.85994497E-03      0.85994068E-03      0.86017241E-03
      0.26300000E+00      0.26027091E-02      0.86749466E-03      0.86749043E-03      0.86772405E-03
      0.26400000E+00      0.26255541E-02      0.87510897E-03      0.87510481E-03      0.87534033E-03
      0.26500000E+00      0.26485950E-02      0.88278860E-03      0.88278450E-03      0.88302194E-03
      0.26600000E+00      0.26718341E-02      0.89053425E-03      0.89053022E-03      0.89076959E-03
      0.26700000E+00      0.26952733E-02      0.89834663E-03      0.89834268E-03      0.89858399E-03
      0.26800000E+00      0.27189149E-02      0.90622647E-03      0.90622259E-03      0.90646585E-03
      0.26900000E+00      0.27427611E-02      0.91417449E-03      0.91417068E-03      0.91441592E-03
      0.27000000E+00      0.27668141E-02      0.92219143E-03      0.92218770E-03      0.92243493E-03
      0.27100000E+00      0.27910761E-02      0.93027804E-03      0.93027439E-03      0.93052362E-03
      0.27200000E+00      0.28155494E-02      0.93843509E-03      0.93843152E-03      0.93868277E-03
      0.27300000E+00      0.28402363E-02      0.94666334E-03      0.94665986E-03      0.94691314E-03
      0.27400000E+00      0.28651393E-02      0.95496357E-03      0.95496018E-03      0.95521551E-03
      0.27500000E+00      0.28902605E-02      0.96333658E-03      0.96333328E-03      0.96359067E-03
      0.27600000E+00      0.29156025E-02      0.97178317E-03      0.97177995E-03      0.97203943E-03
      0.27700000E+00      0.29411678E-02      0.98030414E-03      0.98030102E-03      0.98056259E-03
      0.27800000E+00      0.29669586E-02      0.98890033E-03      0.98889730E-03      0.98916099E-03
      0.27900000E+00      0.29929777E-02      0.99757256E-03      0.99756964E-03      0.99783545E-03
      0.28000000E+00      0.30192274E-02      0.10063217E-02      0.10063189E-02      0.10065868E-02
      0.28100000E+00      0.30457104E-02      0.10151486E-02      0.10151459E-02      0.10154160E-02
      0.28200000E+00      0.30724293E-02      0.10240541E-02      0.10240515E-02      0.10243238E-02
      0.28300000E+00      0.30993868E-02      0.10330391E-02      0.10330366E-02      0.10333111E-02
      0.28400000E+00      0.31265854E-02      0.10421045E-02      0.10421021E-02      0.10423788E-02
      0.28500000E+00      0.31540280E-02      0.10512512E-02      0.10512489E-02      0.10515279E-02
      0.28600000E+00      0.31817173E-02      0.10604801E-02      0.10604780E-02      0.10607592E-02
      0.28700000E+00      0.32096561E-02      0.10697922E-02      0.10697902E-02      0.10700736E-02
      0.28800000E+00      0.32378472E-02      0.10791884E-02      0.10791865E-02      0.10794722E-02
      0.28900000E+00      0.32662935E-02      0.10886697E-02      0.10886679E-02      0.10889559E-02
